Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2005,ER_RSK_LST,Hungary,,,,,0.86339
2006,ER_RSK_LST,Hungary,,,,,0.86351
2007,ER_RSK_LST,Hungary,,,,,0.86359
2008,ER_RSK_LST,Hungary,,,,,0.86371
2009,ER_RSK_LST,Hungary,,,,,0.86378
2010,ER_RSK_LST,Hungary,,,,,0.86384
2011,ER_RSK_LST,Hungary,,,,,0.86392
2007,ER_RSK_LST,Croatia,,,,,0.89596
2008,ER_RSK_LST,Croatia,,,,,0.89594
2009,ER_RSK_LST,Croatia,,,,,0.89591
2010,ER_RSK_LST,Croatia,,,,,0.89588
2011,ER_RSK_LST,Croatia,,,,,0.89586
2012,ER_RSK_LST,Croatia,,,,,0.89583
2013,ER_RSK_LST,Croatia,,,,,0.89579
2020,ER_RSK_LST,Belgium,,,,,0.98382
2021,ER_RSK_LST,Belgium,,,,,0.98394
2022,ER_RSK_LST,Belgium,,,,,0.98412
2023,ER_RSK_LST,Belgium,,,,,0.98429
2000,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.8994
2001,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89929
2002,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.8992
2012,ER_RSK_LST,Hungary,,,,,0.86399
2013,ER_RSK_LST,Hungary,,,,,0.86405
2014,ER_RSK_LST,Hungary,,,,,0.86412
2015,ER_RSK_LST,Hungary,,,,,0.86419
2016,ER_RSK_LST,Hungary,,,,,0.86425
2017,ER_RSK_LST,Hungary,,,,,0.86433
2018,ER_RSK_LST,Hungary,,,,,0.86436
2014,ER_RSK_LST,Croatia,,,,,0.89575
2015,ER_RSK_LST,Croatia,,,,,0.89574
2016,ER_RSK_LST,Croatia,,,,,0.89569
2017,ER_RSK_LST,Croatia,,,,,0.89563
2018,ER_RSK_LST,Croatia,,,,,0.89561
2019,ER_RSK_LST,Croatia,,,,,0.89555
2020,ER_RSK_LST,Croatia,,,,,0.89554
2003,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89917
2004,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89917
2005,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89917
2006,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.8992
2007,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89927
2008,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89931
2009,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89935
2010,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89937
2011,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89941
2012,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89946
2013,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.8995
2014,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89953
2015,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.89957
2016,ER_RSK_LST,Bosnia and Herzegovina,,,,,0.8996
2021,ER_RSK_LST,Croatia,,,,,0.89552
2022,ER_RSK_LST,Croatia,,,,,0.89546
2023,ER_RSK_LST,Croatia,,,,,0.89544
2000,ER_RSK_LST,Cyprus,,,,,0.99235
2001,ER_RSK_LST,Cyprus,,,,,0.99236
