Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2010,SH_PRV_SMOK,Spain,15+,,FEMALE,27.9
2010,SH_PRV_SMOK,Spain,15+,,BOTHSEX,31.9
2015,SH_PRV_SMOK,Spain,15+,,MALE,32.0
2015,SH_PRV_SMOK,Spain,15+,,FEMALE,27.3
2015,SH_PRV_SMOK,Spain,15+,,BOTHSEX,29.7
2010,SH_PRV_SMOK,Greece,15+,,FEMALE,36.7
2010,SH_PRV_SMOK,Greece,15+,,BOTHSEX,42.9
2010,SH_PRV_SMOK,Greece,15+,,MALE,49.1
2015,SH_PRV_SMOK,Greece,15+,,MALE,42.3
2015,SH_PRV_SMOK,Greece,15+,,FEMALE,33.5
2015,SH_PRV_SMOK,Greece,15+,,BOTHSEX,37.9
2018,SH_PRV_SMOK,Greece,15+,,MALE,38.8
2018,SH_PRV_SMOK,Greece,15+,,FEMALE,31.9
2018,SH_PRV_SMOK,Spain,15+,,BOTHSEX,28.1
2018,SH_PRV_SMOK,Spain,15+,,FEMALE,27.0
2018,SH_PRV_SMOK,Spain,15+,,MALE,30.0
2019,SH_PRV_SMOK,Spain,15+,,FEMALE,26.9
2019,SH_PRV_SMOK,Spain,15+,,MALE,29.3
2019,SH_PRV_SMOK,Spain,15+,,BOTHSEX,28.1
2020,SH_PRV_SMOK,Spain,15+,,BOTHSEX,27.7
2020,SH_PRV_SMOK,Spain,15+,,FEMALE,26.7
2018,SH_PRV_SMOK,Greece,15+,,BOTHSEX,34.5
2019,SH_PRV_SMOK,Greece,15+,,BOTHSEX,34.5
2019,SH_PRV_SMOK,Greece,15+,,FEMALE,31.2
2019,SH_PRV_SMOK,Greece,15+,,MALE,37.7
2020,SH_PRV_SMOK,Greece,15+,,MALE,36.5
2020,SH_PRV_SMOK,Greece,15+,,FEMALE,30.5
