Year,SeriesCode,Страна ,Age,Value
2007,FB_CBK_BRCH,Croatia,15+,33.6203679099347
2008,FB_CBK_BRCH,Croatia,15+,35.358135637981
2009,FB_CBK_BRCH,Croatia,15+,36.7053598898674
2010,FB_CBK_BRCH,Croatia,15+,36.1774080621657
2011,FB_CBK_BRCH,Croatia,15+,35.9074758259824
2012,FB_CBK_BRCH,Croatia,15+,35.5769281271415
2013,FB_CBK_BRCH,Croatia,15+,34.5883202535887
2014,FB_CBK_BRCH,Croatia,15+,33.8245779395162
2015,FB_CBK_BRCH,Croatia,15+,33.4877444041645
2016,FB_CBK_BRCH,Croatia,15+,32.7274233971121
2017,FB_CBK_BRCH,Croatia,15+,32.2468213645109
2018,FB_CBK_BRCH,Croatia,15+,30.0462024747769
2019,FB_CBK_BRCH,Croatia,15+,28.3595075752995
2020,FB_CBK_BRCH,Croatia,15+,27.0880961549358
2021,FB_CBK_BRCH,Croatia,15+,26.8381590042473
2004,FB_CBK_BRCH,Cyprus,15+,67.5018463374021
2005,FB_CBK_BRCH,Cyprus,15+,62.7621169808016
2006,FB_CBK_BRCH,Cyprus,15+,60.7732835412628
2007,FB_CBK_BRCH,Cyprus,15+,60.6880772342978
2008,FB_CBK_BRCH,Cyprus,15+,61.1837114858203
2009,FB_CBK_BRCH,Cyprus,15+,60.2768053515998
2010,FB_CBK_BRCH,Cyprus,15+,57.9764681173181
2011,FB_CBK_BRCH,Cyprus,15+,55.5740802489719
2012,FB_CBK_BRCH,Cyprus,15+,52.1548262412369
2013,FB_CBK_BRCH,Cyprus,15+,39.2780856790199
2014,FB_CBK_BRCH,Cyprus,15+,37.8680893352163
2015,FB_CBK_BRCH,Cyprus,15+,36.1721004278465
2016,FB_CBK_BRCH,Cyprus,15+,34.3357875539966
2017,FB_CBK_BRCH,Cyprus,15+,50.4553210487368
2018,FB_CBK_BRCH,Cyprus,15+,42.238819091542
2019,FB_CBK_BRCH,Cyprus,15+,35.7598261892146
2020,FB_CBK_BRCH,Cyprus,15+,30.877220851556
2021,FB_CBK_BRCH,Cyprus,15+,28.259797139951
2004,FB_CBK_BRCH,Czechia,15+,20.998293484841
2005,FB_CBK_BRCH,Czechia,15+,21.3737694577678
2006,FB_CBK_BRCH,Czechia,15+,21.8921572204601
2007,FB_CBK_BRCH,Czechia,15+,21.5870278986799
2008,FB_CBK_BRCH,Czechia,15+,22.8096602394363
2009,FB_CBK_BRCH,Czechia,15+,22.7391030076901
2010,FB_CBK_BRCH,Czechia,15+,22.6101283578434
2011,FB_CBK_BRCH,Czechia,15+,23.2894131869042
2014,FB_CBK_BRCH,Spain,15+,69.684376195006
2015,FB_CBK_BRCH,Spain,15+,67.5149552343687
2016,FB_CBK_BRCH,Spain,15+,61.8139459036228
2017,FB_CBK_BRCH,Spain,15+,58.5720944656819
2018,FB_CBK_BRCH,Spain,15+,55.106025510589
2019,FB_CBK_BRCH,Spain,15+,49.6000750247392
2020,FB_CBK_BRCH,Spain,15+,45.5191912042568
2021,FB_CBK_BRCH,Spain,15+,37.4201597958069
2004,FB_CBK_BRCH,Sweden,15+,23.5748999957063
2005,FB_CBK_BRCH,Sweden,15+,23.5183285413957
2006,FB_CBK_BRCH,Sweden,15+,23.7822837840665
2007,FB_CBK_BRCH,Sweden,15+,23.5949995482791
2008,FB_CBK_BRCH,Sweden,15+,23.9540447454254
2012,FB_CBK_BRCH,Czechia,15+,23.8314014611621
