Year,SeriesCode,GeoAreaName,Disability status,Sex,Value
2017,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",1.89
2017,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",3.57
2017,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",2.94
2017,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",1.78
2018,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",1.3
2018,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",2.15
2018,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",2.15
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",14.99
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",7.57
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",21.81
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",7.81
2004,"SL_TLF_UEMDIS_19ICLS","Finland","_T","MALE",11.78
2004,"SL_TLF_UEMDIS_19ICLS","Finland","PD","MALE",25.14
2004,"SL_TLF_UEMDIS_19ICLS","Finland","_T","BOTHSEX",11.09
2004,"SL_TLF_UEMDIS_19ICLS","Finland","PWD","MALE",11.29
2004,"SL_TLF_UEMDIS_19ICLS","Finland","PWD","BOTHSEX",10.69
2018,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",1.81
2018,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",1.81
2018,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",1.29
2019,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",1.68
2019,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",1.36
2019,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",1.38
2019,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",1.56
2019,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",1.67
2019,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",1.54
2020,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",2.46
2020,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",2.27
2020,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",2.74
2020,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",2.86
2020,"SL_TLF_UEMDIS_19ICLS","Malta","PD","BOTHSEX",15.74
2020,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",2.93
2020,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",2.63
2018,"SL_TLF_UEMDIS_19ICLS","Republic of Moldova","PWD","FEMALE",3.17
2018,"SL_TLF_UEMDIS_19ICLS","Republic of Moldova","_T","BOTHSEX",4.11
2004,"SL_TLF_UEMDIS_19ICLS","Finland","PD","FEMALE",18.15
2004,"SL_TLF_UEMDIS_19ICLS","Finland","PD","BOTHSEX",21.64
2004,"SL_TLF_UEMDIS_19ICLS","Finland","PWD","FEMALE",10.01
2004,"SL_TLF_UEMDIS_19ICLS","Finland","_T","FEMALE",10.33
2005,"SL_TLF_UEMDIS_19ICLS","Finland","PWD","FEMALE",9.39
2005,"SL_TLF_UEMDIS_19ICLS","Finland","PD","FEMALE",11.53
2005,"SL_TLF_UEMDIS_19ICLS","Finland","PD","BOTHSEX",17.26
2005,"SL_TLF_UEMDIS_19ICLS","Finland","PWD","BOTHSEX",10.35
2005,"SL_TLF_UEMDIS_19ICLS","Finland","_T","MALE",11.62
2008,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","MALE",4.38
2008,"SL_TLF_UEMDIS_19ICLS","Austria","PD","FEMALE",24.3
