Year,SeriesCode,Country,Activity,Sex,Value
2015,SL_ISV_IFEM,Costa Rica,TOTAL,Male,38.8
2015,SL_ISV_IFEM,Costa Rica,ISIC4_A,Male,62.09
2015,SL_ISV_IFEM,Costa Rica,TOTAL,Female,47.22
2015,SL_ISV_IFEM,Costa Rica,NONAGR,Male,33.15
2016,SL_ISV_IFEM,Costa Rica,ISIC4_A,Male,58.54
2016,SL_ISV_IFEM,Costa Rica,NONAGR,Female,39.75
2016,SL_ISV_IFEM,Costa Rica,ISIC4_A,Female,82.77
2016,SL_ISV_IFEM,Costa Rica,TOTAL,Female,43.71
2016,SL_ISV_IFEM,Costa Rica,NONAGR,Male,33.19
2016,SL_ISV_IFEM,Costa Rica,TOTAL,Both sexes,40.16
2017,SL_ISV_IFEM,Greece,ISIC4_A,Female,33.0
2017,SL_ISV_IFEM,Greece,NONAGR,Both sexes,6.46
2017,SL_ISV_IFEM,Greece,TOTAL,Male,5.43
2017,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,18.37
2017,SL_ISV_IFEM,Greece,ISIC4_A,Male,9.15
2017,SL_ISV_IFEM,Greece,TOTAL,Both sexes,7.93
2017,SL_ISV_IFEM,Greece,NONAGR,Male,4.87
2017,SL_ISV_IFEM,Greece,NONAGR,Female,8.62
2017,SL_ISV_IFEM,Greece,TOTAL,Female,11.4
2019,SL_ISV_IFEM,Albania,TOTAL,Male,58.98
2019,SL_ISV_IFEM,Albania,NONAGR,Male,39.88
